carrera,institucion,acreditacion_institucion,acreditacion_carrera,periodo_acreditacion_carrera,Desde,Hasta
Diseño de Juegos Digitales,UNIVERSIDAD ANDRES BELLO,4 años,no acreditada,-,-,-
Diseño de Vestuario y Textil,UNIVERSIDAD ANDRES BELLO,4 años,no acreditada,-,-,-
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO,4 años,no acreditada,-,-,-
Diseño Gráfico,UNIVERSIDAD ANDRES BELLO,4 años ,no acreditada,-,-,-
Diseño (NN),UNIVERSIDAD AUSTRAL DE CHILE,6 años,no acreditada,,,
Diseño Gráfico,UNIVERSIDAD CATOLICA DE TEMUCO,4 años ,4 años,2016 - 2020,2016,2020
Diseño de Imagen Especialidad Moda,"UNIVERSIDAD DE ARTES, CIENCIAS Y COMUNICACION",no acreditada,no acreditada,-,-,-
Diseño Teatral,UNIVERSIDAD DE CHILE,no acreditada,no acreditada,-,-,-
Diseño Mención Comunicación/Equipamiento,UNIVERSIDAD DE LA SERENA,4 años,4 años,2016 - 2020,2016,2020
Diseño Gráfico,UNIVERSIDAD DE LAS AMERICAS,3 años,no acreditada,-,-,-
Diseño Multimedia,UNIVERSIDAD DE TARAPACA,5 años,5 años,2015 - 2020 ,2015,2020
Diseño,UNIVERSIDAD DE VIÑA DEL MAR,4 años,3 años,2015 - 2018,2015,2018
Diseño,UNIVERSIDAD DEL DESARROLLO,5 años,6 años,2012 - 2018 ,2012,2018
Diseño,UNIVERSIDAD DEL DESARROLLO,5 años,6 años,2012 - 2018 ,2012,2018
Diseño Vestuario y Textiles,UNIVERSIDAD DEL PACIFICO,no acreditada,5 años,2013 - 2018,2014,2018
Diseño de Interiores,UNIVERSIDAD DEL PACIFICO,no acreditada,4 años,2014 - 2018 ,2014,2018
Diseño Gráfico,UNIVERSIDAD DEL PACIFICO,no acreditada,5 años,2013 - 2018,2013,2018
Diseño,UNIVERSIDAD DIEGO PORTALES,5 años,6 años,2016 - 2022 ,2016,2022
Diseño,UNIVERSIDAD FINIS TERRAE,4 años,no acreditada,-,-,-
"Diseño Crossmedia en Gráfica, Web y Video Digital",UNIVERSIDAD GABRIELA MISTRAL,2 años,no acreditada,-,-,-
Diseño Mención Industrial/Gráfico/Ambienstes,UNIVERSIDAD MAYOR,5 años,no acreditada,-,-,-
Diseño Industrial,UNIVERSIDAD TECNOLOGICA METROPOLITANA,4 años,6 años,2016 - 2022,2016,2022
Diseño en Comunicación Visual,UNIVERSIDAD TECNOLOGICA METROPOLITANA,4 años,5 años,2016 - 2021,2016,2021
